Client,Connection_Time(s)
1,0.0041
2,0.0005
3,0.0100
4,0.0009
5,0.0009
6,0.0012
7,0.0012
8,0.0011
9,0.0008
10,0.0010
11,0.0008
12,0.0010
13,0.0136
14,0.0010
15,0.0007
16,0.0203
17,0.0008
18,0.0186
19,0.0007
20,0.0128
21,0.0137
22,0.0138
23,0.0139
24,0.0138
25,0.0008
26,0.0201
27,0.0013
28,0.0133
29,0.0008
30,0.0007
31,0.0010
32,0.0170
33,0.0139
34,0.0138
35,0.0008
36,0.0129
37,0.0138
38,0.0008
39,0.0202
40,0.0137
41,0.0009
42,0.0128
43,0.0274
44,0.0142
45,0.0010
46,0.0128
47,0.0008
48,0.0130
49,0.0136
50,0.0138
51,0.0009
52,0.0131
53,0.0135
54,0.0010
55,0.0005
56,0.0005
57,0.0007
58,0.0007
59,0.0010
60,0.0008
61,0.0009
62,0.0149
63,0.0152
64,0.0118
65,0.0008
66,0.0128
67,0.0139
68,0.0138
69,0.0138
70,0.0008
71,0.0130
72,0.0008
73,0.0006
74,0.0009
75,0.0009
76,0.0010
77,0.0010
78,0.0007
79,0.0014
80,0.0009
81,0.0007
82,0.0009
83,0.0013
84,0.0010
85,0.0010
86,0.0005
87,0.0132
88,0.0007
89,0.0130
90,0.0009
91,0.0006
92,0.0190
93,0.0139
94,0.0207
95,0.0008
96,0.0133
97,0.0009
98,0.0006
99,0.0006
100,0.0008
101,0.0009
102,0.0007
103,0.0085
104,0.0138
105,0.0137
106,0.0009
107,0.0130
108,0.0140
109,0.0205
110,0.0140
111,0.0137
112,0.0139
113,0.0010
114,0.0011
115,0.0009
116,0.0010
117,0.0011
118,0.0010
119,0.0139
120,0.0139
121,0.0007
122,0.0132
123,0.0011
124,0.0127
125,0.0008
126,0.0005
127,0.0005
128,0.0006
129,0.0007
130,0.0007
131,0.0008
132,0.0006
133,0.0004
134,0.0216
135,0.0008
136,0.0130
137,0.0009
138,0.0005
139,0.0123
140,0.0010
141,0.0129
142,0.0137
143,0.0138
144,0.0208
145,0.0010
146,0.0005
147,0.0123
148,0.0008
149,0.0006
150,0.0007
151,0.0009
152,0.0008
153,0.0100
154,0.0138
155,0.0009
156,0.0126
157,0.0009
158,0.0131
159,0.0008
160,0.0127
161,0.0140
162,0.0009
163,0.0129
164,0.0137
165,0.0138
166,0.0009
167,0.0201
168,0.0010
169,0.0124
170,0.0008
171,0.0005
172,0.0006
173,0.0005
174,0.0009
175,0.0013
176,0.0182
177,0.0014
178,0.0006
179,0.0008
180,0.0153
181,0.0139
182,0.0009
183,0.0128
184,0.0010
185,0.0130
186,0.0007
187,0.0267
188,0.0141
189,0.0206
190,0.0210
191,0.0138
192,0.0010
193,0.0192
194,0.0013
195,0.0007
196,0.0006
197,0.0141
198,0.0179
199,0.0205
200,0.0229
201,0.0009
202,0.0007
203,0.0008
204,0.0160
205,0.0011
206,0.0142
207,0.0011
208,0.0005
209,0.0008
210,0.0010
211,0.0011
212,0.0013
213,0.0007
214,0.0009
215,0.0113
216,0.0152
217,0.0011
218,0.0008
219,0.0007
220,0.0008
221,0.0009
222,0.0008
223,0.0008
224,0.0223
225,0.0007
226,0.0108
227,0.0138
228,0.0007
229,0.0145
230,0.0010
231,0.0006
232,0.0110
233,0.0008
234,0.0230
235,0.0013
236,0.0008
237,0.0006
238,0.0197
239,0.0011
240,0.0221
241,0.0009
242,0.0138
243,0.0126
244,0.0012
245,0.0008
246,0.0008
247,0.0117
248,0.0010
249,0.0007
250,0.0108
251,0.0149
252,0.0010
253,0.0008
254,0.0111
255,0.0139
256,0.0012
257,0.0121
258,0.0007
259,0.0213
260,0.0007
261,0.0145
262,0.0008
263,0.0005
264,0.0250
265,0.0010
266,0.0117
267,0.0148
268,0.0126
269,0.0230
270,0.0010
271,0.0009
272,0.0136
273,0.0009
274,0.0006
275,0.0006
276,0.0008
277,0.0010
278,0.0013
279,0.0182
280,0.0007
281,0.0144
282,0.0125
283,0.0009
284,0.0008
285,0.0009
286,0.0182
287,0.0007
288,0.0006
289,0.0005
290,0.0008
291,0.0008
292,0.0008
293,0.0011
294,0.0011
295,0.0164
296,0.0009
297,0.0145
298,0.0010
299,0.0007
300,0.0150
301,0.0137
302,0.0149
303,0.0126
304,0.0231
305,0.0157
306,0.0155
307,0.0011
308,0.0008
309,0.0007
310,0.0007
311,0.0113
312,0.0127
313,0.0162
314,0.0011
315,0.0006
316,0.0007
317,0.0009
318,0.0010
319,0.0007
320,0.0007
321,0.0008
322,0.0010
323,0.0007
324,0.0010
325,0.0011
326,0.0144
