Client,Connection_Time(s)
1,0.0038
2,0.0151
3,0.0008
4,0.0004
5,0.0004
6,0.0005
7,0.0008
8,0.0128
9,0.0161
10,0.0013
11,0.0006
12,0.0007
13,0.0004
14,0.0122
15,0.0006
16,0.0154
17,0.0007
18,0.0156
19,0.0154
20,0.0157
21,0.0158
22,0.0164
23,0.0154
24,0.0158
25,0.0010
26,0.0005
27,0.0007
28,0.0010
29,0.0007
30,0.0116
31,0.0010
32,0.0147
33,0.0158
34,0.0018
35,0.0010
36,0.0020
37,0.0116
38,0.0009
39,0.0126
40,0.0139
41,0.0141
42,0.0136
43,0.0140
44,0.0137
45,0.0138
46,0.0134
47,0.0010
48,0.0006
49,0.0005
50,0.0009
51,0.0011
52,0.0008
53,0.0005
54,0.0008
55,0.0012
56,0.0007
57,0.0118
58,0.0007
59,0.0136
60,0.0006
61,0.0004
62,0.0004
63,0.0116
64,0.0007
65,0.0135
66,0.0007
67,0.0132
68,0.0139
69,0.0138
70,0.0008
71,0.0005
72,0.0010
73,0.0115
74,0.0009
75,0.0127
76,0.0010
77,0.0127
78,0.0008
79,0.0131
80,0.0140
81,0.0007
82,0.0131
83,0.0139
84,0.0010
85,0.0123
86,0.0140
87,0.0013
88,0.0007
89,0.0007
90,0.0005
91,0.0102
92,0.0009
93,0.0129
94,0.0138
95,0.0006
96,0.0131
97,0.0133
98,0.0012
99,0.0129
100,0.0138
101,0.0134
102,0.0008
103,0.0008
104,0.0006
105,0.0126
106,0.0155
107,0.0115
108,0.0007
109,0.0130
110,0.0007
111,0.0131
112,0.0007
113,0.0131
114,0.0007
115,0.0132
116,0.0008
117,0.0128
118,0.0139
119,0.0007
120,0.0125
121,0.0008
122,0.0152
123,0.0009
124,0.0191
125,0.0011
126,0.0145
127,0.0009
128,0.0005
129,0.0005
130,0.0006
131,0.0004
132,0.0129
133,0.0007
134,0.0152
135,0.0159
136,0.0014
137,0.0143
138,0.0016
139,0.0137
140,0.0009
141,0.0148
142,0.0006
143,0.0004
144,0.0149
145,0.0161
146,0.0014
147,0.0139
148,0.0160
149,0.0143
150,0.0007
151,0.0152
152,0.0007
153,0.0148
154,0.0159
155,0.0006
156,0.0151
157,0.0006
158,0.0006
159,0.0007
160,0.0008
161,0.0131
162,0.0007
163,0.0154
164,0.0007
165,0.0152
166,0.0011
167,0.0144
168,0.0007
169,0.0153
170,0.0162
171,0.0157
172,0.0157
173,0.0160
174,0.0008
175,0.0148
176,0.0011
177,0.0147
178,0.0013
179,0.0143
180,0.0013
181,0.0145
182,0.0010
183,0.0148
184,0.0157
185,0.0017
186,0.0139
187,0.0156
188,0.0007
189,0.0146
190,0.0101
191,0.0007
192,0.0005
193,0.0008
194,0.0005
195,0.0088
196,0.0101
197,0.0105
198,0.0008
199,0.0094
200,0.0103
201,0.0009
202,0.0196
203,0.0013
204,0.0082
205,0.0012
206,0.0087
207,0.0253
208,0.0009
209,0.0134
210,0.0009
211,0.0187
212,0.0008
213,0.0193
214,0.0007
215,0.0093
216,0.0006
217,0.0096
218,0.0201
219,0.0007
220,0.0004
221,0.0007
222,0.0084
223,0.0006
224,0.0096
225,0.0006
226,0.0094
