Client,Connection_Time(s)
1,0.0240
2,0.0006
3,0.0151
4,0.0011
5,0.0011
6,0.0007
7,0.0010
8,0.0118
9,0.0158
10,0.0007
11,0.0148
12,0.0006
13,0.0157
14,0.0157
15,0.0158
16,0.0007
17,0.0004
18,0.0148
19,0.0160
20,0.0009
21,0.0005
22,0.0140
23,0.0007
24,0.0005
25,0.0004
26,0.0006
27,0.0009
28,0.0128
29,0.0158
30,0.0137
31,0.0136
32,0.0006
33,0.0125
34,0.0008
35,0.0011
36,0.0007
37,0.0109
38,0.0010
39,0.0008
40,0.0006
41,0.0006
42,0.0175
43,0.0209
44,0.0008
45,0.0198
46,0.0008
47,0.0005
48,0.0126
49,0.0007
50,0.0135
51,0.0138
52,0.0133
53,0.0138
54,0.0010
55,0.0008
56,0.0119
57,0.0007
58,0.0136
59,0.0139
60,0.0008
61,0.0005
62,0.0005
63,0.0007
64,0.0007
65,0.0006
66,0.0010
67,0.0011
68,0.0009
69,0.0013
70,0.0011
71,0.0109
72,0.0007
73,0.0130
74,0.0007
75,0.0132
76,0.0007
77,0.0005
78,0.0126
79,0.0007
80,0.0125
81,0.0214
82,0.0007
83,0.0004
84,0.0188
85,0.0216
86,0.0009
87,0.0006
88,0.0120
89,0.0200
90,0.0009
91,0.0165
92,0.0011
93,0.0006
94,0.0007
95,0.0012
96,0.0011
97,0.0013
98,0.0112
99,0.0008
100,0.0129
101,0.0139
102,0.0007
103,0.0124
104,0.0146
105,0.0009
106,0.0122
107,0.0007
108,0.0136
109,0.0007
110,0.0124
111,0.0147
112,0.0010
113,0.0007
114,0.0008
115,0.0111
116,0.0011
117,0.0007
118,0.0137
119,0.0108
120,0.0008
121,0.0131
122,0.0227
123,0.0007
124,0.0149
125,0.0160
126,0.0008
127,0.0005
128,0.0140
129,0.0008
130,0.0005
131,0.0150
132,0.0154
133,0.0151
134,0.0010
135,0.0007
136,0.0008
137,0.0007
138,0.0010
139,0.0010
140,0.0009
141,0.0008
142,0.0237
143,0.0154
144,0.0151
145,0.0007
146,0.0149
147,0.0007
148,0.0152
149,0.0008
150,0.0005
151,0.0140
152,0.0007
153,0.0147
154,0.0157
155,0.0008
156,0.0147
157,0.0161
158,0.0010
159,0.0148
160,0.0157
161,0.0161
162,0.0154
163,0.0012
164,0.0145
165,0.0155
166,0.0015
167,0.0006
168,0.0006
169,0.0007
170,0.0007
171,0.0111
172,0.0163
173,0.0157
174,0.0168
175,0.0007
176,0.0143
177,0.0154
178,0.0008
179,0.0007
180,0.0008
181,0.0137
182,0.0008
183,0.0149
184,0.0010
185,0.0145
186,0.0009
187,0.0005
188,0.0007
189,0.0011
190,0.0009
191,0.0009
192,0.0008
193,0.0008
194,0.0006
195,0.0006
196,0.0006
197,0.0010
198,0.0008
199,0.0008
200,0.0010
201,0.0007
202,0.0012
203,0.0005
204,0.0005
205,0.0156
206,0.0008
207,0.0013
208,0.0136
209,0.0007
210,0.0148
211,0.0006
212,0.0152
213,0.0008
214,0.0005
215,0.0189
216,0.0006
217,0.0006
218,0.0007
219,0.0008
220,0.0011
221,0.0008
222,0.0012
223,0.0008
224,0.0009
225,0.0010
226,0.0011
227,0.0010
228,0.0007
229,0.0009
230,0.0008
231,0.0009
232,0.0009
233,0.0010
234,0.0013
235,0.0010
236,0.0012
237,0.0201
238,0.0007
239,0.0097
240,0.0101
241,0.0008
242,0.0008
243,0.0014
244,0.0010
245,0.0008
246,0.0015
247,0.0231
248,0.0008
249,0.0006
250,0.0007
251,0.0009
252,0.0008
253,0.0167
254,0.0007
255,0.0091
256,0.0104
257,0.0008
258,0.0194
259,0.0009
260,0.0197
261,0.0102
262,0.0015
263,0.0006
264,0.0010
265,0.0009
266,0.0010
267,0.0006
268,0.0137
269,0.0009
270,0.0092
271,0.0009
272,0.0006
273,0.0006
274,0.0011
275,0.0008
276,0.0009
277,0.0011
278,0.0009
279,0.0129
280,0.0207
281,0.0007
282,0.0095
283,0.0103
284,0.0104
285,0.0007
286,0.0094
287,0.0103
288,0.0008
289,0.0193
290,0.0102
291,0.0100
292,0.0007
293,0.0202
294,0.0008
295,0.0199
296,0.0204
297,0.0103
298,0.0103
299,0.0009
300,0.0009
301,0.0012
302,0.0007
303,0.0008
304,0.0007
305,0.0151
306,0.0007
307,0.0095
308,0.0006
309,0.0093
310,0.0103
311,0.0006
312,0.0005
313,0.0004
314,0.0006
315,0.0006
316,0.0006
317,0.0006
318,0.0008
319,0.0150
320,0.0008
321,0.0093
322,0.0008
323,0.0094
324,0.0103
325,0.0104
326,0.0194
327,0.0007
328,0.0189
329,0.0008
330,0.0005
331,0.0194
332,0.0008
333,0.0092
334,0.0007
335,0.0096
336,0.0104
337,0.0011
338,0.0008
339,0.0009
340,0.0010
341,0.0166
342,0.0008
343,0.0192
344,0.0008
345,0.0005
346,0.0091
347,0.0006
348,0.0005
349,0.0007
350,0.0005
351,0.0180
352,0.0007
353,0.0195
354,0.0007
355,0.0095
356,0.0104
357,0.0148
358,0.0177
359,0.0204
360,0.0207
361,0.0012
362,0.0005
363,0.0184
364,0.0008
365,0.0008
366,0.0007
367,0.0075
368,0.0011
369,0.0010
370,0.0014
371,0.0011
372,0.0014
373,0.0021
374,0.0018
375,0.0016
376,0.0008
377,0.0006
378,0.0005
379,0.0096
380,0.0008
381,0.0006
382,0.0011
383,0.0012
384,0.0008
385,0.0156
386,0.0007
387,0.0006
388,0.0008
389,0.0010
390,0.0009
391,0.0059
392,0.0199
393,0.0007
394,0.0095
395,0.0099
396,0.0008
397,0.0006
398,0.0007
399,0.0013
400,0.0009
401,0.0156
402,0.0208
403,0.0007
404,0.0189
405,0.0007
406,0.0187
407,0.0006
408,0.0005
409,0.0098
410,0.0256
411,0.0008
412,0.0147
413,0.0007
414,0.0006
415,0.0008
416,0.0010
417,0.0128
418,0.0007
419,0.0153
420,0.0007
421,0.0154
422,0.0010
423,0.0146
424,0.0157
425,0.0156
426,0.0159
427,0.0008
428,0.0152
429,0.0007
430,0.0005
431,0.0143
432,0.0008
433,0.0150
434,0.0010
435,0.0145
436,0.0157
437,0.0008
438,0.0149
439,0.0014
440,0.0144
441,0.0009
442,0.0146
443,0.0008
444,0.0006
445,0.0012
446,0.0007
447,0.0005
448,0.0006
449,0.0110
450,0.0009
451,0.0005
452,0.0138
453,0.0007
454,0.0148
455,0.0008
456,0.0150
457,0.0161
458,0.0011
459,0.0144
460,0.0006
461,0.0151
462,0.0011
463,0.0146
464,0.0009
465,0.0151
466,0.0163
467,0.0158
468,0.0009
469,0.0144
470,0.0009
471,0.0146
472,0.0159
473,0.0163
474,0.0009
475,0.0010
476,0.0012
477,0.0124
478,0.0009
479,0.0010
480,0.0010
481,0.0011
482,0.0009
483,0.0009
484,0.0008
485,0.0092
486,0.0152
487,0.0155
488,0.0156
489,0.0007
490,0.0006
491,0.0140
492,0.0159
493,0.0159
494,0.0159
495,0.0160
496,0.0162
497,0.0157
498,0.0015
499,0.0139
500,0.0007
501,0.0007
502,0.0140
503,0.0007
504,0.0155
505,0.0157
506,0.0160
507,0.0160
508,0.0158
509,0.0016
510,0.0139
511,0.0008
512,0.0006
513,0.0006
514,0.0011
515,0.0009
516,0.0007
517,0.0010
518,0.0006
519,0.0006
520,0.0008
521,0.0006
522,0.0007
523,0.0007
524,0.0011
525,0.0006
526,0.0009
527,0.0026
528,0.0008
529,0.0151
530,0.0007
531,0.0005
532,0.0004
533,0.0143
534,0.0006
535,0.0153
536,0.0006
537,0.0004
538,0.0145
539,0.0008
540,0.0156
541,0.0007
542,0.0144
543,0.0007
544,0.0006
545,0.0141
546,0.0164
547,0.0154
548,0.0008
549,0.0153
550,0.0157
551,0.0212
552,0.0288
553,0.0150
554,0.0018
555,0.0010
556,0.0007
557,0.0008
558,0.0010
559,0.0008
560,0.0092
561,0.0006
562,0.0153
563,0.0161
564,0.0007
565,0.0150
566,0.0006
567,0.0004
568,0.0145
569,0.0007
570,0.0005
571,0.0145
572,0.0008
573,0.0151
574,0.0008
575,0.0154
576,0.0151
577,0.0160
578,0.0008
579,0.0148
580,0.0009
581,0.0146
582,0.0007
583,0.0006
584,0.0147
585,0.0008
586,0.0006
587,0.0007
588,0.0136
589,0.0008
590,0.0149
591,0.0009
592,0.0147
593,0.0008
594,0.0005
595,0.0147
596,0.0008
597,0.0005
598,0.0149
599,0.0008
600,0.0153
601,0.0156
602,0.0156
603,0.0157
604,0.0156
605,0.0009
606,0.0147
607,0.0008
608,0.0151
609,0.0010
610,0.0146
611,0.0010
612,0.0144
613,0.0008
614,0.0151
615,0.0007
616,0.0005
617,0.0146
618,0.0007
619,0.0005
620,0.0006
621,0.0145
622,0.0007
623,0.0007
624,0.0006
625,0.0008
626,0.0008
627,0.0008
628,0.0114
629,0.0008
630,0.0150
631,0.0008
632,0.0005
633,0.0143
634,0.0007
635,0.0148
636,0.0007
637,0.0150
638,0.0008
639,0.0149
640,0.0015
641,0.0143
642,0.0016
643,0.0011
644,0.0125
645,0.0006
646,0.0004
647,0.0007
648,0.0011
649,0.0128
650,0.0008
651,0.0007
652,0.0008
653,0.0010
654,0.0007
655,0.0012
656,0.0009
657,0.0009
658,0.0009
659,0.0006
660,0.0012
661,0.0009
662,0.0009
663,0.0009
664,0.0255
665,0.0157
666,0.0006
667,0.0154
668,0.0157
669,0.0159
670,0.0161
671,0.0023
672,0.0012
673,0.0116
674,0.0008
675,0.0007
676,0.0009
677,0.0009
678,0.0009
679,0.0009
680,0.0015
681,0.0010
682,0.0006
683,0.0013
684,0.0058
685,0.0155
686,0.0160
687,0.0006
688,0.0155
689,0.0007
690,0.0148
691,0.0159
692,0.0158
693,0.0014
694,0.0013
695,0.0127
696,0.0010
697,0.0147
698,0.0011
699,0.0011
700,0.0009
701,0.0009
702,0.0009
703,0.0007
704,0.0008
705,0.0010
706,0.0007
707,0.0007
708,0.0007
709,0.0007
710,0.0007
711,0.0007
712,0.0006
713,0.0006
714,0.0179
715,0.0007
716,0.0151
717,0.0008
718,0.0148
719,0.0007
720,0.0149
721,0.0009
722,0.0008
723,0.0007
724,0.0012
725,0.0010
726,0.0009
727,0.0007
728,0.0007
729,0.0008
730,0.0075
731,0.0157
732,0.0010
733,0.0007
734,0.0007
735,0.0010
736,0.0009
737,0.0008
738,0.0009
739,0.0008
740,0.0240
741,0.0158
742,0.0161
743,0.0015
744,0.0140
745,0.0008
746,0.0150
747,0.0012
748,0.0005
749,0.0140
750,0.0007
751,0.0153
752,0.0161
753,0.0016
754,0.0012
755,0.0016
756,0.0008
757,0.0009
758,0.0007
759,0.0082
760,0.0007
761,0.0005
762,0.0146
763,0.0007
764,0.0005
765,0.0144
766,0.0159
767,0.0009
768,0.0006
769,0.0140
770,0.0007
771,0.0150
772,0.0153
773,0.0007
774,0.0150
775,0.0158
776,0.0152
777,0.0160
778,0.0167
779,0.0009
780,0.0138
781,0.0013
782,0.0145
783,0.0008
784,0.0151
785,0.0014
786,0.0140
787,0.0012
788,0.0011
789,0.0013
790,0.0012
791,0.0006
792,0.0007
793,0.0012
794,0.0012
795,0.0008
796,0.0222
797,0.0008
798,0.0008
799,0.0009
800,0.0009
801,0.0011
802,0.0109
803,0.0007
804,0.0007
805,0.0008
806,0.0007
807,0.0008
808,0.0007
809,0.0010
810,0.0103
811,0.0008
812,0.0005
813,0.0004
814,0.0004
815,0.0004
816,0.0131
817,0.0157
818,0.0010
819,0.0145
820,0.0008
821,0.0005
822,0.0136
823,0.0008
824,0.0006
825,0.0007
826,0.0009
827,0.0122
828,0.0008
829,0.0006
830,0.0009
831,0.0008
832,0.0009
833,0.0008
834,0.0007
835,0.0007
836,0.0008
837,0.0008
838,0.0007
839,0.0007
840,0.0008
841,0.0006
842,0.0006
843,0.0005
844,0.0007
845,0.0010
846,0.0006
847,0.0169
848,0.0007
849,0.0151
850,0.0007
851,0.0150
852,0.0156
853,0.0007
854,0.0152
855,0.0007
856,0.0151
857,0.0006
858,0.0156
859,0.0007
860,0.0005
861,0.0006
862,0.0007
863,0.0009
864,0.0006
865,0.0010
866,0.0010
867,0.0008
868,0.0086
869,0.0162
870,0.0158
871,0.0157
872,0.0008
873,0.0152
874,0.0158
875,0.0161
876,0.0021
877,0.0133
878,0.0159
879,0.0008
880,0.0005
881,0.0008
882,0.0006
883,0.0009
884,0.0009
885,0.0008
886,0.0006
887,0.0008
888,0.0013
889,0.0009
890,0.0009
891,0.0008
892,0.0007
893,0.0008
894,0.0185
895,0.0007
896,0.0151
897,0.0007
898,0.0151
899,0.0155
900,0.0008
901,0.0005
902,0.0005
903,0.0007
904,0.0006
905,0.0006
906,0.0008
907,0.0008
908,0.0010
909,0.0009
910,0.0231
911,0.0158
912,0.0013
913,0.0010
914,0.0018
915,0.0009
916,0.0013
917,0.0011
918,0.0012
919,0.0010
920,0.0009
921,0.0246
922,0.0007
923,0.0142
924,0.0009
925,0.0143
926,0.0008
927,0.0006
928,0.0005
929,0.0136
930,0.0007
931,0.0149
932,0.0007
933,0.0153
934,0.0160
935,0.0007
936,0.0006
937,0.0007
938,0.0011
939,0.0008
940,0.0114
941,0.0155
942,0.0007
943,0.0151
944,0.0157
945,0.0007
946,0.0150
947,0.0011
948,0.0005
949,0.0007
950,0.0010
951,0.0005
952,0.0115
953,0.0007
954,0.0152
955,0.0009
956,0.0005
957,0.0008
958,0.0137
959,0.0009
