Client,Connection_Time(s)
1,0.0038
2,0.0164
3,0.0008
4,0.0129
5,0.0007
6,0.0006
7,0.0007
8,0.0120
9,0.0006
10,0.0130
11,0.0007
12,0.0131
13,0.0138
14,0.0006
15,0.0133
16,0.0136
17,0.0007
18,0.0133
19,0.0008
20,0.0129
21,0.0138
22,0.0008
23,0.0132
24,0.0134
25,0.0008
26,0.0130
27,0.0007
28,0.0132
29,0.0008
30,0.0005
31,0.0004
32,0.0004
33,0.0004
34,0.0112
35,0.0007
36,0.0130
37,0.0009
38,0.0201
39,0.0010
40,0.0246
41,0.0008
42,0.0159
43,0.0010
44,0.0148
45,0.0160
46,0.0159
47,0.0011
48,0.0149
49,0.0158
50,0.0156
51,0.0006
52,0.0151
53,0.0011
54,0.0005
55,0.0004
56,0.0005
57,0.0009
58,0.0010
59,0.0005
60,0.0006
61,0.0096
62,0.0006
63,0.0154
64,0.0007
65,0.0148
66,0.0008
67,0.0147
68,0.0008
69,0.0150
70,0.0158
71,0.0009
72,0.0006
73,0.0008
74,0.0006
75,0.0007
76,0.0006
77,0.0008
78,0.0104
79,0.0007
80,0.0151
81,0.0006
82,0.0151
83,0.0160
84,0.0008
85,0.0005
86,0.0008
87,0.0136
88,0.0007
89,0.0126
90,0.0149
91,0.0158
92,0.0162
93,0.0159
94,0.0018
95,0.0138
96,0.0012
97,0.0141
98,0.0006
99,0.0153
100,0.0010

Metric,Value
Total_Clients,100
Average_Connection_Time,0.0071
Maximum_Connection_Time,0.0246
Minimum_Connection_Time,0.0004
Average_Jitter,0.0089
Payload_Size_Bytes,256
