Client,Connection_Time(s)
1,0.0061
2,0.0008
3,0.0122
4,0.0007
5,0.0152
6,0.0010
7,0.0007
8,0.0009
9,0.0010
10,0.0007
11,0.0007
12,0.0005
13,0.0103
14,0.0006
15,0.0152
16,0.0156
17,0.0006
18,0.0005
19,0.0006
20,0.0006
21,0.0010
22,0.0008
23,0.0008
24,0.0107
25,0.0005
26,0.0004
27,0.0008
28,0.0007
29,0.0008
30,0.0006
31,0.0006
32,0.0007
33,0.0006
34,0.0007
35,0.0007
36,0.0007
37,0.0005
38,0.0005
39,0.0005
40,0.0007
41,0.0006
42,0.0007
43,0.0005
44,0.0005
45,0.0007
46,0.0004
47,0.0008
48,0.0005
49,0.0006
50,0.0007
51,0.0005
52,0.0005
53,0.0135
54,0.0005
55,0.0154
56,0.0157
57,0.0157
58,0.0008
59,0.0151
60,0.0013
61,0.0009
62,0.0007
63,0.0010
64,0.0010
65,0.0010
66,0.0091
67,0.0162
68,0.0159
69,0.0005
70,0.0150
71,0.0158
72,0.0009
73,0.0149
74,0.0008
75,0.0005
76,0.0148
77,0.0008
78,0.0147
79,0.0007
80,0.0150
81,0.0011
82,0.0008
83,0.0013
84,0.0010
85,0.0007
86,0.0007
87,0.0006
88,0.0006
89,0.0006
90,0.0006
91,0.0071
92,0.0007
93,0.0155
94,0.0159
95,0.0007
96,0.0155
97,0.0008
98,0.0150
99,0.0016
100,0.0138
101,0.0007
102,0.0007
103,0.0006
104,0.0139
105,0.0006
106,0.0005
107,0.0005
108,0.0005
109,0.0008
110,0.0007
111,0.0118
112,0.0160
113,0.0008
114,0.0147
115,0.0007
116,0.0004
117,0.0007
118,0.0009
119,0.0007
120,0.0006
121,0.0005
122,0.0006
123,0.0007
124,0.0005
125,0.0006
126,0.0006
127,0.0008
128,0.0005
129,0.0004
130,0.0009
131,0.0007
132,0.0007
133,0.0005
134,0.0006
135,0.0006
136,0.0006
137,0.0008
138,0.0006
139,0.0006
140,0.0006
141,0.0142
142,0.0006
143,0.0152
144,0.0162
145,0.0007
146,0.0151
147,0.0160
148,0.0007
149,0.0005
150,0.0005
151,0.0140
152,0.0012
153,0.0118
154,0.0009
155,0.0119
156,0.0007
157,0.0140
158,0.0137
159,0.0009
160,0.0008
161,0.0120
162,0.0007
163,0.0130
164,0.0008
165,0.0130
166,0.0131
167,0.0010
168,0.0127
169,0.0009
170,0.0005
171,0.0006
172,0.0009
173,0.0007
174,0.0101
175,0.0008
176,0.0006
177,0.0130
178,0.0133
179,0.0138
180,0.0138
181,0.0010
182,0.0204
183,0.0133
184,0.0011
185,0.0133
186,0.0009
187,0.0005
188,0.0006
189,0.0007
190,0.0008
191,0.0099
192,0.0009
193,0.0005
194,0.0126
195,0.0008
196,0.0004
197,0.0123
198,0.0008
199,0.0130
200,0.0007
201,0.0005
202,0.0007
203,0.0009
204,0.0108
205,0.0008
206,0.0005
207,0.0006
208,0.0008
209,0.0007
210,0.0005
211,0.0006
212,0.0007
213,0.0007
214,0.0006
215,0.0208
216,0.0007
217,0.0126
218,0.0010
219,0.0194
220,0.0209
221,0.0011
222,0.0126
223,0.0138
224,0.0010
225,0.0005
226,0.0006
227,0.0011
228,0.0006
229,0.0006
230,0.0007
231,0.0010
232,0.0006
233,0.0008
234,0.0007
235,0.0007
236,0.0008
237,0.0005
238,0.0007
239,0.0007
240,0.0159
241,0.0008
242,0.0125
243,0.0007
244,0.0005
245,0.0006
246,0.0008
247,0.0006
248,0.0006
249,0.0006
250,0.0006
251,0.0006
252,0.0222
253,0.0008
254,0.0004
255,0.0188
256,0.0008
257,0.0202
258,0.0142
259,0.0010
260,0.0121
261,0.0009
262,0.0136
263,0.0131
264,0.0009
265,0.0150
266,0.0008
267,0.0142
268,0.0009
269,0.0178
270,0.0154
271,0.0009
272,0.0152
273,0.0010
274,0.0148
275,0.0008
276,0.0229
277,0.0016
278,0.0137
279,0.0161
280,0.0020
281,0.0016
282,0.0018
283,0.0011
284,0.0085
285,0.0152
286,0.0011
287,0.0004
288,0.0006
289,0.0010
290,0.0007
291,0.0007
292,0.0006
293,0.0007
294,0.0007
295,0.0009
296,0.0006
297,0.0005
298,0.0006
299,0.0007
300,0.0006
301,0.0005
302,0.0006
303,0.0185
304,0.0007
305,0.0145
306,0.0008
307,0.0143
308,0.0009
309,0.0146
310,0.0010
311,0.0007
312,0.0011
313,0.0010
314,0.0007
315,0.0009
316,0.0008
317,0.0008
318,0.0009
319,0.0009
320,0.0007
321,0.0007
322,0.0007
323,0.0005
324,0.0007
325,0.0005
326,0.0010
327,0.0008
328,0.0008
329,0.0007
330,0.0008
331,0.0007
332,0.0005
333,0.0007
334,0.0005
335,0.0005
336,0.0005
337,0.0005
338,0.0005
339,0.0006
340,0.0006
341,0.0005
342,0.0007
343,0.0007
344,0.0006
345,0.0008
346,0.0005
347,0.0008
348,0.0007
349,0.0007
350,0.0150
351,0.0006
352,0.0005
353,0.0142
354,0.0152
355,0.0006
356,0.0144
357,0.0006
358,0.0147
359,0.0007
360,0.0151
361,0.0007
362,0.0147
363,0.0159
364,0.0007
365,0.0151
366,0.0013
367,0.0141
368,0.0015
369,0.0141
370,0.0161
371,0.0011
372,0.0147
373,0.0005
374,0.0004
375,0.0007
376,0.0007
377,0.0005
378,0.0007
379,0.0005
380,0.0008
381,0.0103
382,0.0006
383,0.0154
384,0.0007
385,0.0151
386,0.0007
387,0.0006
388,0.0006
389,0.0007
390,0.0007
391,0.0006
392,0.0006
393,0.0009
394,0.0004
395,0.0097
396,0.0006
397,0.0153
398,0.0007
399,0.0004
400,0.0005
401,0.0007
402,0.0008
403,0.0005
404,0.0007
405,0.0006
406,0.0005
407,0.0100
408,0.0006
409,0.0152
410,0.0157
411,0.0006
412,0.0151
413,0.0007
414,0.0006
415,0.0144
416,0.0161
417,0.0010
418,0.0151
419,0.0014
420,0.0142
421,0.0161
422,0.0157
423,0.0026
424,0.0016
425,0.0012
426,0.0008
427,0.0241
428,0.0008
429,0.0150
430,0.0007
431,0.0006
432,0.0008
433,0.0011
434,0.0007
435,0.0119
436,0.0006
437,0.0153
438,0.0160
439,0.0007
440,0.0150
441,0.0164
442,0.0018
443,0.0133
444,0.0013
445,0.0141
446,0.0012
447,0.0007
448,0.0014
449,0.0011
450,0.0007
451,0.0103
452,0.0007
453,0.0005
454,0.0147
455,0.0011
456,0.0146
457,0.0006
458,0.0150
459,0.0010
460,0.0149
461,0.0008
462,0.0151
463,0.0012
464,0.0145
465,0.0009
466,0.0146
467,0.0007
468,0.0005
469,0.0009
470,0.0137
471,0.0157
472,0.0013
473,0.0006
474,0.0011
475,0.0124
476,0.0007
477,0.0005
478,0.0007
479,0.0005
480,0.0007
481,0.0005
482,0.0120
483,0.0007
484,0.0151
485,0.0006
486,0.0155
487,0.0157
488,0.0009
489,0.0150
490,0.0006
491,0.0149
492,0.0011
493,0.0146
494,0.0007
495,0.0150
496,0.0016
497,0.0140
498,0.0009
499,0.0146
500,0.0010
501,0.0148
502,0.0157
503,0.0010
504,0.0006
505,0.0010
506,0.0008
507,0.0121
508,0.0161
509,0.0007
510,0.0153
511,0.0007
512,0.0006
513,0.0008
514,0.0133
515,0.0006
516,0.0153
517,0.0155
518,0.0158
519,0.0007
520,0.0152
521,0.0007
522,0.0007
523,0.0009
524,0.0007
525,0.0129
526,0.0008
527,0.0164
528,0.0011
529,0.0302
530,0.0029
531,0.0119
532,0.0007
533,0.0150
534,0.0160
535,0.0007
536,0.0152
537,0.0151
538,0.0007
539,0.0006
540,0.0009
541,0.0131
542,0.0007
543,0.0155
544,0.0006
545,0.0005
546,0.0006
547,0.0007
548,0.0007
549,0.0129
550,0.0006
551,0.0150
552,0.0006
553,0.0154
554,0.0006
555,0.0154
556,0.0161
557,0.0018
558,0.0013
559,0.0121
560,0.0006
