Client,Connection_Time(s)
1,0.0235
2,0.0157
3,0.0012
4,0.0005
5,0.0004
6,0.0007
7,0.0007
8,0.0007
9,0.0114
10,0.0008
11,0.0149
12,0.0153
13,0.0153
14,0.0014
15,0.0010
16,0.0009
17,0.0125
18,0.0160
19,0.0155
20,0.0014
21,0.0006
22,0.0135
23,0.0011
24,0.0145
25,0.0008
26,0.0006
27,0.0007
28,0.0007
29,0.0010
30,0.0009
31,0.0006
32,0.0142
33,0.0009
34,0.0007
35,0.0007
36,0.0008
37,0.0008
38,0.0006
39,0.0005
40,0.0006
41,0.0010
42,0.0007
43,0.0009
44,0.0006
45,0.0004
46,0.0114
47,0.0008
48,0.0216
49,0.0120
50,0.0007
51,0.0221
52,0.0152
53,0.0010
54,0.0093
55,0.0009
56,0.0128
57,0.0150
58,0.0126
59,0.0137
60,0.0009
61,0.0211
62,0.0008
63,0.0143
64,0.0007
65,0.0257
66,0.0007
67,0.0144
68,0.0007
69,0.0171
70,0.0007
71,0.0131
72,0.0158
73,0.0008
74,0.0182
75,0.0137
76,0.0139
77,0.0209
78,0.0010
79,0.0195
80,0.0009
81,0.0198
82,0.0007
83,0.0127
84,0.0008
85,0.0130
86,0.0009
87,0.0007
88,0.0121
89,0.0008
90,0.0147
91,0.0007
92,0.0114
93,0.0139
94,0.0008
95,0.0199
96,0.0009
97,0.0192
98,0.0012
99,0.0200
100,0.0010
101,0.0005
102,0.0007
103,0.0008
104,0.0120
105,0.0007
106,0.0116
107,0.0008
108,0.0005
109,0.0177
110,0.0008
111,0.0006
112,0.0008
113,0.0008
114,0.0007
115,0.0006
116,0.0005
117,0.0097
118,0.0137
119,0.0221
120,0.0008
121,0.0005
122,0.0007
123,0.0006
124,0.0006
125,0.0008
126,0.0007
127,0.0007
128,0.0006
129,0.0255
130,0.0154
131,0.0015
132,0.0009
133,0.0132
134,0.0009
135,0.0148
136,0.0008
137,0.0006
138,0.0005
139,0.0007
140,0.0006
141,0.0125
142,0.0007
143,0.0144
144,0.0006
145,0.0150
146,0.0010
147,0.0005
148,0.0005
149,0.0006
150,0.0129
151,0.0007
152,0.0150
153,0.0007
154,0.0145
155,0.0007
156,0.0152
157,0.0009
158,0.0142
159,0.0012
160,0.0144
161,0.0011
162,0.0007
163,0.0006
164,0.0008
165,0.0120
166,0.0009
167,0.0138
168,0.0009
169,0.0006
170,0.0006
171,0.0131
172,0.0009
173,0.0143
174,0.0006
175,0.0147
176,0.0008
177,0.0143
178,0.0010
179,0.0009
180,0.0006
181,0.0009
182,0.0010
183,0.0006
184,0.0007
185,0.0007
186,0.0009
187,0.0010
188,0.0009
189,0.0205
190,0.0007
191,0.0191
192,0.0190
193,0.0007
194,0.0188
195,0.0199
196,0.0200
197,0.0008
198,0.0199
199,0.0205
200,0.0008
201,0.0187
202,0.0197
203,0.0011
204,0.0005
205,0.0183
206,0.0011
207,0.0004
208,0.0005
209,0.0008
210,0.0007
211,0.0007
212,0.0008
213,0.0007
214,0.0006
215,0.0007
216,0.0007
217,0.0008
218,0.0116
219,0.0008
220,0.0191
221,0.0008
222,0.0196
223,0.0007
224,0.0005
225,0.0004
226,0.0005
227,0.0005
228,0.0009
229,0.0005
230,0.0011
231,0.0145
232,0.0008
233,0.0200
234,0.0202
235,0.0010
236,0.0009
237,0.0012
238,0.0009
239,0.0010
240,0.0007
241,0.0247
242,0.0009
243,0.0102
244,0.0007
245,0.0203
246,0.0198
247,0.0193
248,0.0202
249,0.0015
250,0.0011
251,0.0011
252,0.0012
253,0.0007
254,0.0008
255,0.0009
256,0.0005
257,0.0114
258,0.0008
259,0.0093
260,0.0007
261,0.0186
262,0.0008
263,0.0190
264,0.0008
265,0.0189
266,0.0007
267,0.0190
268,0.0204
269,0.0007
270,0.0005
271,0.0004
272,0.0004
273,0.0005
274,0.0008
275,0.0007
276,0.0008
277,0.0013
278,0.0009
279,0.0006
280,0.0008
281,0.0111
282,0.0008
283,0.0198
284,0.0007
285,0.0005
286,0.0006
287,0.0182
288,0.0008
289,0.0199
290,0.0100
291,0.0202
292,0.0013
293,0.0186
294,0.0013
295,0.0191
296,0.0011
297,0.0188
298,0.0008
299,0.0008
