Client,Connection_Time(s)
1,0.0039
2,0.0190
3,0.0008
4,0.0149
5,0.0163
6,0.0019
7,0.0133
8,0.0011
9,0.0145
10,0.0010
11,0.0006
12,0.0138
13,0.0007
14,0.0155
15,0.0010
16,0.0145
17,0.0012
18,0.0142
19,0.0008
20,0.0150
21,0.0012
22,0.0009
23,0.0011
24,0.0011
25,0.0009
26,0.0008
27,0.0009
28,0.0016
29,0.0011
30,0.0134
31,0.0010
32,0.0008
33,0.0007
34,0.0010
35,0.0007
36,0.0010
37,0.0012
38,0.0008
39,0.0006
40,0.0006
41,0.0007
42,0.0007
43,0.0009
44,0.0009
45,0.0010
46,0.0008
47,0.0006
48,0.0006
49,0.0007
50,0.0008
51,0.0299
52,0.0008
53,0.0126
54,0.0138
55,0.0009
56,0.0136
57,0.0137
58,0.0007
59,0.0005
60,0.0007
61,0.0007
62,0.0110
63,0.0140
64,0.0136
65,0.0007
66,0.0130
67,0.0007
68,0.0005
69,0.0126
70,0.0008
71,0.0007
72,0.0125
73,0.0009
74,0.0120
75,0.0010
76,0.0007
77,0.0125
78,0.0007
79,0.0132
80,0.0132
81,0.0138
82,0.0144
83,0.0007
84,0.0132
85,0.0007
86,0.0131
87,0.0007
88,0.0007
89,0.0123
90,0.0007
91,0.0132
92,0.0007
93,0.0004
94,0.0005
95,0.0119
96,0.0139
97,0.0008
98,0.0131
99,0.0007
100,0.0005
101,0.0007
102,0.0007
103,0.0004
104,0.0005
105,0.0008
106,0.0006
107,0.0008
108,0.0009
109,0.0009
110,0.0005
111,0.0008
112,0.0006
113,0.0007
114,0.0097
115,0.0007
116,0.0130
117,0.0007
118,0.0004
119,0.0005
120,0.0009
121,0.0006
122,0.0099
123,0.0007
124,0.0135
125,0.0006
126,0.0135
127,0.0007
128,0.0131
129,0.0136
130,0.0138
131,0.0143
132,0.0009
133,0.0126
134,0.0008
135,0.0007
136,0.0006
137,0.0008
138,0.0009
139,0.0098
140,0.0007
141,0.0124
142,0.0011
143,0.0133
144,0.0007
145,0.0130
146,0.0008
147,0.0124
148,0.0137
149,0.0010
150,0.0211
151,0.0008
152,0.0153
153,0.0014
154,0.0144
155,0.0158
156,0.0009
157,0.0006
158,0.0005
159,0.0008
160,0.0006
161,0.0007
162,0.0006
163,0.0009
164,0.0009
165,0.0007
166,0.0075
167,0.0158
168,0.0008
169,0.0151
170,0.0158
171,0.0007
172,0.0154
173,0.0155
174,0.0008
175,0.0008
176,0.0008
177,0.0007
178,0.0005
179,0.0118
180,0.0008
181,0.0154
182,0.0008
183,0.0005
184,0.0008
185,0.0134
186,0.0153
187,0.0009
188,0.0006
189,0.0138
190,0.0155
191,0.0010
192,0.0007
193,0.0011
194,0.0011
195,0.0012
196,0.0014
197,0.0245
198,0.0009
199,0.0007
200,0.0136
201,0.0152
202,0.0156
203,0.0008
204,0.0006
205,0.0142
206,0.0152
207,0.0007
208,0.0006
209,0.0006
210,0.0138
211,0.0008
212,0.0005
213,0.0005
214,0.0006
215,0.0007
216,0.0007
217,0.0007
218,0.0008
219,0.0006
220,0.0006
221,0.0084
222,0.0151
223,0.0007
224,0.0153
225,0.0157
226,0.0159
227,0.0162
228,0.0009
229,0.0006
230,0.0006
231,0.0007
232,0.0118
233,0.0007
234,0.0005
235,0.0146
236,0.0164
237,0.0009
238,0.0005
239,0.0007
240,0.0004
241,0.0006
242,0.0008
243,0.0113
244,0.0007
245,0.0154
246,0.0008
247,0.0005
248,0.0146
249,0.0008
250,0.0153
251,0.0010
252,0.0005
253,0.0006
254,0.0006
255,0.0123
256,0.0007
257,0.0006
258,0.0005
259,0.0008
260,0.0008
261,0.0005
262,0.0118
263,0.0007
264,0.0149
265,0.0196
266,0.0006
267,0.0004
268,0.0005
269,0.0008
270,0.0008
271,0.0005
272,0.0059
273,0.0102
274,0.0006
275,0.0094
276,0.0008
277,0.0132
278,0.0174
279,0.0100
280,0.0103
281,0.0099
282,0.0009
283,0.0006
284,0.0008
285,0.0005
286,0.0169
287,0.0102
288,0.0100
289,0.0006
290,0.0097
291,0.0008
292,0.0008
293,0.0005
294,0.0006
295,0.0005
296,0.0066
297,0.0006
298,0.0152
299,0.0103
300,0.0011
301,0.0092
302,0.0008
303,0.0005
304,0.0190
305,0.0011
306,0.0005
307,0.0086
308,0.0010
309,0.0007
310,0.0086
311,0.0103
312,0.0101
313,0.0008
314,0.0006
315,0.0183
316,0.0106
317,0.0103
318,0.0015
319,0.0129
320,0.0010
321,0.0109
322,0.0009
323,0.0007
324,0.0009
325,0.0075
326,0.0100
327,0.0007
328,0.0005
329,0.0006
330,0.0008
331,0.0005
332,0.0071
333,0.0008
334,0.0005
335,0.0004
336,0.0091
337,0.0009
338,0.0186
339,0.0008
340,0.0005
341,0.0005
342,0.0006
343,0.0011
344,0.0007
345,0.0007
346,0.0008
347,0.0005
348,0.0006
349,0.0009
350,0.0005
351,0.0114
352,0.0006
353,0.0004
354,0.0006
355,0.0180
356,0.0006
357,0.0193
358,0.0006
359,0.0093
360,0.0006
361,0.0004
362,0.0095
363,0.0006
364,0.0004
365,0.0005
366,0.0118
367,0.0102
368,0.0006
369,0.0004
370,0.0004
371,0.0005
372,0.0008
373,0.0179
374,0.0099
375,0.0102
376,0.0006
377,0.0004
378,0.0093
379,0.0008
380,0.0005
381,0.0089
382,0.0103
383,0.0012
384,0.0181
385,0.0195
386,0.0007
387,0.0200
388,0.0009
389,0.0094
390,0.0101
391,0.0007
392,0.0005
393,0.0007
394,0.0011
395,0.0009
396,0.0012
397,0.0009
398,0.0009
399,0.0006
400,0.0128
401,0.0007
402,0.0005
403,0.0008
404,0.0007
405,0.0008
406,0.0154
407,0.0006
408,0.0201
409,0.0013
410,0.0190
411,0.0130
412,0.0007
413,0.0144
414,0.0009
415,0.0117
416,0.0008
417,0.0005
418,0.0006
419,0.0182
420,0.0100
421,0.0007
422,0.0005
423,0.0005
424,0.0009
425,0.0007
426,0.0006
427,0.0008
428,0.0006
429,0.0006
430,0.0006
431,0.0008
432,0.0009
433,0.0006
434,0.0105
435,0.0005
436,0.0006
437,0.0006
438,0.0007
439,0.0006
440,0.0009
441,0.0075
442,0.0138
443,0.0099
444,0.0007
445,0.0005
446,0.0194
447,0.0102
448,0.0116
449,0.0007
450,0.0094
451,0.0008
452,0.0193
453,0.0009
454,0.0006
455,0.0007
456,0.0177
457,0.0008
458,0.0092
459,0.0103
460,0.0102
461,0.0006
462,0.0097
463,0.0098
464,0.0009
465,0.0007
466,0.0006
467,0.0010
468,0.0009
469,0.0005
470,0.0008
471,0.0008
472,0.0005
473,0.0134
474,0.0008
475,0.0005
476,0.0006
477,0.0008
478,0.0008
479,0.0006
480,0.0006
481,0.0007
482,0.0006
483,0.0006
484,0.0008
485,0.0006
486,0.0008
487,0.0007
488,0.0205
489,0.0007
490,0.0097
491,0.0106
492,0.0008
493,0.0005
494,0.0091
495,0.0006
496,0.0094
497,0.0006
498,0.0005
499,0.0005
500,0.0086
501,0.0103
502,0.0010
503,0.0006
504,0.0192
505,0.0011
506,0.0006
507,0.0005
508,0.0007
509,0.0008
510,0.0117
511,0.0006
512,0.0004
513,0.0004
514,0.0005
515,0.0008
516,0.0130
517,0.0007
518,0.0005
519,0.0004
520,0.0007
521,0.0008
522,0.0008
523,0.0009
524,0.0007
525,0.0006
526,0.0006
527,0.0006
528,0.0007
529,0.0005
530,0.0008
531,0.0215
532,0.0158
533,0.0160
534,0.0160
535,0.0159
536,0.0016
537,0.0139
538,0.0161
539,0.0008
540,0.0154
541,0.0011
542,0.0006
543,0.0139
544,0.0008
545,0.0149
546,0.0008
547,0.0147
548,0.0007
549,0.0006
550,0.0008
551,0.0012
552,0.0010
553,0.0107
554,0.0158
555,0.0158
556,0.0008
557,0.0152
558,0.0008
559,0.0151
560,0.0008
561,0.0152
562,0.0157
563,0.0007
564,0.0152
565,0.0012
566,0.0144
567,0.0010
568,0.0148
569,0.0008
570,0.0006
571,0.0008
572,0.0008
573,0.0007
574,0.0009
575,0.0008
576,0.0008
577,0.0004
578,0.0005
579,0.0085
580,0.0007
581,0.0006
582,0.0007
583,0.0008
584,0.0010
585,0.0006
586,0.0007
587,0.0008
588,0.0008
589,0.0006
590,0.0234
591,0.0009
592,0.0005
593,0.0005
594,0.0135
595,0.0010
596,0.0149
597,0.0008
598,0.0005
599,0.0143
600,0.0159
601,0.0013
602,0.0143
603,0.0008
604,0.0142
605,0.0009
606,0.0140
607,0.0011
608,0.0005
609,0.0006
610,0.0009
611,0.0006
612,0.0009
613,0.0006
614,0.0005
615,0.0009
616,0.0006
617,0.0238
618,0.0008
619,0.0153
620,0.0157
621,0.0009
622,0.0006
623,0.0008
624,0.0011
625,0.0119
626,0.0160
627,0.0158
628,0.0008
629,0.0148
630,0.0157
631,0.0008
632,0.0006
633,0.0009
634,0.0009
635,0.0121
636,0.0156
637,0.0157
638,0.0007
639,0.0005
640,0.0005
641,0.0007
642,0.0007
643,0.0006
644,0.0118
645,0.0007
646,0.0149
647,0.0008
648,0.0150
649,0.0157
650,0.0158
651,0.0159
652,0.0007
653,0.0154
654,0.0008
655,0.0150
656,0.0006
657,0.0152
658,0.0009
659,0.0006
660,0.0006
661,0.0008
662,0.0006
663,0.0007
664,0.0008
665,0.0006
666,0.0005
667,0.0007
668,0.0013
669,0.0008
